STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,23-10-1996,,,74,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,25-10-1996,,,74,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,01-11-1996,,,72,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,02-11-1996,,,73,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,03-11-1996,,,72,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,04-11-1996,,,74,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,05-11-1996,,,82,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,06-11-1996,,,72,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,07-11-1996,,,73,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,08-11-1996,,,71,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,09-11-1996,,,67,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,10-11-1996,,,73,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,11-11-1996,,,74,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,12-11-1996,,,76,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,13-11-1996,,,75,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,14-11-1996,,,71,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,15-11-1996,,,64,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,16-11-1996,,,63,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,17-11-1996,,,64,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,18-11-1996,,,66,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,19-11-1996,,,67,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,20-11-1996,,,67,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,21-11-1996,,,63,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,22-11-1996,,,60,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,23-11-1996,,,62,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,24-11-1996,,,61,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,25-11-1996,,,62,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,26-11-1996,,,67,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,27-11-1996,,,69,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,28-11-1996,,,64,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,29-11-1996,,,56,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,30-11-1996,,,59,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,01-12-1996,,,60,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,02-12-1996,,,60,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,03-12-1996,,,59,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,04-12-1996,,,61,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,05-12-1996,,,60,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,06-12-1996,,,58,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,07-12-1996,,,54,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,08-12-1996,,,53,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,09-12-1996,,,53,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,10-12-1996,,,53,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,11-12-1996,,,54,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,12-12-1996,,,54,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,13-12-1996,,,56,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,14-12-1996,,,54,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,15-12-1996,,,55,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,16-12-1996,,,60,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,17-12-1996,,,60,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,18-12-1996,0,"D,,S",56,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,19-12-1996,,,58,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,20-12-1996,0,"D,,S",55,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,21-12-1996,0,"D,,S",62,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,22-12-1996,,,56,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,23-12-1996,,,56,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,24-12-1996,0,"D,,S",60,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,25-12-1996,0,"D,,S",62,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,26-12-1996,0,"D,,S",62,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,27-12-1996,,,60,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,28-12-1996,0,"D,,S",59,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,29-12-1996,0,"D,,S",59,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,30-12-1996,0,"D,,S",59,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,31-12-1996,0,"D,,S",58,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,01-01-1997,,,59,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,02-01-1997,0,"D,,S",58,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,03-01-1997,0,"D,,S",62,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,04-01-1997,,,62,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,05-01-1997,0,"D,,S",62,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,06-01-1997,,,57,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,07-01-1997,0,"D,,S",57,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,08-01-1997,,,56,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,09-01-1997,0,"D,,S",56,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,10-01-1997,,,56,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,11-01-1997,,,55,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,12-01-1997,,,55,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,13-01-1997,0,"D,,S",54,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,14-01-1997,0,"D,,S",58,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,15-01-1997,0,"D,,S",62,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,16-01-1997,,,48,"H,,S"
